response,guild,comparison,atlas_start,atlas_end,period_start,period_end,base_site,survey,site,X,Y,guild_probability_start,guild_probability_end,delta_guild_probability,expected_guild_richness_start,expected_guild_richness_end,expected_total_richness_start,expected_total_richness_end,expected_total_richness_min,delta_tmean_breeding,delta_prec_breeding,delta_hh,delta_perc_urban,delta_perc_cropland,delta_perc_pasture,delta_perc_forest,delta_perc_grass_shrub
delta_guild_probability,Aerial insectivores,1990s_minus_1970s,1,2,1970s,1990s,AD90,AD90_2,AD90,447500.0709493527,6252499.57832838,0.027584182435236262,0.030478210973674667,0.002894028538438405,1.294754515400155,1.2975708649574544,46.93829583095509,42.5737214719795,42.5737214719795,-0.20931210935646938,49.98968240795699,-0.006522275041003001,0,-0.0547905853255546,0.010728577878740986,0,0.0440620074468132
delta_guild_probability,Aerial insectivores,1990s_minus_1970s,1,2,1970s,1990s,BD19,BD19_2,BD19,457500.063487968,6297499.744964002,0.03572984777692183,0.03441585932500466,-0.0013139884519171655,2.3988788801758396,1.748316509023639,67.13935349383976,50.79973428858737,50.79973428858737,-0.23408337380027078,51.186222128314,0.011444317057704989,0,-0.017539963724891,-0.002085800467272969,0.073064002986102,-0.053438238793938
delta_guild_probability,Aerial insectivores,1990s_minus_1970s,1,2,1970s,1990s,DC09,DC09_2,DC09,552499.6781305044,6347499.774804628,0.05289270276361991,0.04044364349788585,-0.012449059265734058,2.429075847847856,2.207995090257547,45.92459301434293,54.59436636496333,45.92459301434293,-0.2652969277311801,78.29598711680501,0.0019219819274559902,0,0,0.0183995121447326,0,-0.018399512144732594
delta_guild_probability,Aerial insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB11,DB11_2,DB11,557499.6898730142,6357499.755865983,0.052093415095176655,0.056314549236289715,0.00422113414111306,2.8472542575611923,2.5561525249209245,54.656701856830665,45.390623907786015,45.390623907786015,-0.26576338942508926,79.11126656545099,0.06450699307141006,0,-0.053559830736253033,0,0,0.0535598307362533
delta_guild_probability,Aerial insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB13,DB13_2,DB13,557499.6790873646,6367499.744899912,0.06421066446914508,0.04285733496321645,-0.021353329505928637,2.102811168415103,3.098160971198223,32.74862806357594,72.29009862272841,32.74862806357594,-0.2691750667627897,77.97370761776502,0.04310667235293497,0,-0.037687342529724055,0.0376873425297236,0,0
delta_guild_probability,Aerial insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB14,DB14_2,DB14,557499.6920318474,6372499.795985679,0.05072756871694338,0.045857814826095224,-0.004869753890848157,1.990508123202545,2.55882291326695,39.23917848910627,55.799058960194095,39.23917848910627,-0.27310366869557967,77.12885577003199,0.030293482881302958,0,-0.023115297629693998,0,0,0.0231152976296945
delta_guild_probability,Aerial insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB15,DB15_2,DB15,557499.6776623846,6377499.772861233,0.04904113385605291,0.041020366372910205,-0.008020767483142704,2.023414924135599,2.605521194518093,41.259546120503465,63.517745571350524,41.259546120503465,-0.27098940788335035,78.56085104603099,0.025162525806179947,0.073064004902591,-0.008098264454008075,0.0194213413063106,-0.0032368902177176972,-0.08115019153717701
delta_guild_probability,Aerial insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB16,DB16_2,DB16,557499.6934591797,6382499.787658613,0.042245690948611934,0.04273879382527254,4.931028766606074e-4,2.161051836518615,1.9745107521966299,51.15437309682872,46.19949641697776,46.19949641697776,-0.2694790499705597,75.25812564913798,0.013744059478240978,-0.060886670748658,0,0.01217733414973099,0.0730640048983903,-0.0243546682994634
delta_guild_probability,Aerial insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB20,DB20_2,DB20,562499.6596629414,6352499.822055593,0.060800007425719685,0.041723291531943006,-0.01907671589377668,2.1314177161357812,2.616403776149069,35.05620815490471,62.7084700195806,35.05620815490471,-0.26575169680450017,80.73843333525501,0.026609544706083683,0,-0.013577788698812987,0,0,0.0135777886988126
delta_guild_probability,Aerial insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB21,DB21_2,DB21,562499.6778171846,6357499.774650563,0.04360256839641247,0.04802018685077213,0.004417618454359666,1.3606321409725703,2.210693438778184,31.20532094812379,46.0367521194399,31.20532094812379,-0.26200605217388073,79.80823900209799,0.255226626587258,0,-0.20471260107062195,0,0,0.2047126010706213
