"site","start_occurrence","end_occurrence","species","species_label","comparison","change_class"
"BH58",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"BH59",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"BH66",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"BH67",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"BH68",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"BH69",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"BH76",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"BH77",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"BH78",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"BH79",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"BH86",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"BH87",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"BH88",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"BH89",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"BH96",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"BH97",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"BH98",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"BH99",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CC01",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC03",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC04",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC05",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC06",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CD00",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CD01",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD02",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD03",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD04",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD05",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD06",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD07",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD08",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD09",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CE00",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CE01",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CE02",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CE03",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CE04",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CE05",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CE06",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CE07",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CE08",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CE09",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CF01",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CF02",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CF03",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CF04",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CF05",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CF06",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CF07",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CF08",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CF09",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CB70",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CB80",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CB81",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CB82",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CB90",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CB91",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CB92",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CB93",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CB94",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC10",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC11",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC14",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC15",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC16",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CC20",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC21",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC22",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC23",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC24",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC25",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC26",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CC30",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC31",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC32",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC33",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC34",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC35",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CC36",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC40",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC41",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CC42",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC43",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC44",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC45",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CC46",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CC47",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC50",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC51",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC52",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC53",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC54",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC55",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC56",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC57",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC60",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC61",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC62",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC63",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC64",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC65",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC66",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC67",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CC68",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC70",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC71",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC72",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC73",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC74",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC75",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC76",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC77",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC78",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CC79",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC80",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CC81",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC82",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC83",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC84",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC85",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC86",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC87",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC88",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC89",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC90",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CC91",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CC92",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC93",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CC94",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC95",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC96",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC97",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CC98",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CC99",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD10",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD11",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD12",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD13",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD14",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD15",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD16",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD17",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD18",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD20",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD21",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD22",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD23",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD24",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD25",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD26",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD27",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD28",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD29",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD30",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD31",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CD32",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD33",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD34",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD35",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD36",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD37",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD38",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD39",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CD40",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD41",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD42",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD43",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD44",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD45",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CD46",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD47",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD48",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD49",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD50",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD51",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD52",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD53",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD54",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD55",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD56",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD57",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CD58",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD59",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD60",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CD61",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD62",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD63",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD64",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD65",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD66",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD67",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD68",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD69",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD70",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CD71",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CD72",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD73",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD74",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD75",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CD76",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD77",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD78",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD79",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD80",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CD81",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
"CD82",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD83",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD84",1,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Present both"
"CD85",0,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Absent both"
"CD86",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD87",1,0,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Loss"
"CD88",0,1,"Astur_gentilis","Northern Goshawk
Astur gentilis","1990s to 2010s","Gain"
