response,response_label,atlas,period,bandwidth,bandwidth_value,survey,site,X,Y,predictor,driver_label,coefficient,local_se,local_t,abs_local_t,local_r2,direction,supported,dominant_driver,direction_plot
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AD90_1,AD90,447500.0709493527,6252499.57832838,perc_cropland,Cropland (% coverage),-0.05278535823674952,0.004880371025702731,-10.81584944233802,10.81584944233802,0.4217083273600438,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AD91_1,AD91,447500.05017916387,6257499.546271402,perc_cropland,Cropland (% coverage),-0.051846403161086276,0.004885464393704805,-10.612379700872097,10.612379700872097,0.42508187909989303,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AD92_1,AD92,447500.02377636905,6262499.551973275,perc_cropland,Cropland (% coverage),-0.0508988574619289,0.004899263177674809,-10.389084157362108,10.389084157362108,0.4274255316854556,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AD93_1,AD93,447499.9924736935,6267499.595406948,perc_cropland,Cropland (% coverage),-0.049966027283827874,0.004921129175180034,-10.153366332230025,10.153366332230025,0.428912811176645,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AD94_1,AD94,447499.9570043505,6272499.676545255,perc_cropland,Cropland (% coverage),-0.049055402108447464,0.00495011451836433,-9.909952977139785,9.909952977139785,0.42957163129968384,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AD95_1,AD95,447499.9167107371,6277499.684056323,perc_cropland,Cropland (% coverage),-0.04817663531927539,0.004983883901978549,-9.666484265444021,9.666484265444021,0.42955152157655513,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AE93_1,AE93,447500.1701742312,6217499.746982312,perc_cropland,Cropland (% coverage),-0.05531032985182413,0.005469028057469265,-10.113374674734875,10.113374674734875,0.37333417303298333,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AE94_1,AE94,447500.1510277113,6222499.78450804,perc_cropland,Cropland (% coverage),-0.05586379987802802,0.005282095231399015,-10.576068289331454,10.576068289331454,0.382227021101433,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AE95_1,AE95,447500.18198725476,6227499.747924402,perc_cropland,Cropland (% coverage),-0.05605197471873861,0.0051380425770453835,-10.909207909088822,10.909207909088822,0.39061984135058564,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AE96_1,AE96,447500.139576756,6232499.638727918,perc_cropland,Cropland (% coverage),-0.05584355532068187,0.005033886736547841,-11.093526382951255,11.093526382951255,0.39826762826341117,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AE97_1,AE97,447500.1513174165,6237499.67796077,perc_cropland,Cropland (% coverage),-0.055308070687044804,0.004960293866389178,-11.15016008664544,11.15016008664544,0.4052727094511697,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AE98_1,AE98,447500.15313399426,6242499.6437634,perc_cropland,Cropland (% coverage),-0.054566065812634165,0.004913794182917651,-11.104670603080615,11.104670603080615,0.41164375958229954,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AF81_1,AF81,442500.1384771916,6157499.787446427,perc_cropland,Cropland (% coverage),-0.04870734162241311,0.006405569227402853,-7.603905272625016,7.603905272625016,0.35980398239275013,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AF82_1,AF82,442500.15165183047,6162499.8084204225,perc_cropland,Cropland (% coverage),-0.048618486270817544,0.006404686179631287,-7.591080172739467,7.591080172739467,0.3550781869866513,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AF91_1,AF91,447500.16279772675,6157499.807246089,perc_cropland,Cropland (% coverage),-0.049283093801001765,0.0062766534506625594,-7.851810552930794,7.851810552930794,0.3552378034604591,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AF92_1,AF92,447500.2057250942,6162499.834014087,perc_cropland,Cropland (% coverage),-0.04921450862852339,0.006273302361320671,-7.845071988234699,7.845071988234699,0.3499327368148495,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AF93_1,AF93,447500.1653840631,6167499.788514787,perc_cropland,Cropland (% coverage),-0.04910611684858795,0.006291312488168359,-7.805385114940398,7.805385114940398,0.3452571998142791,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AF94_1,AF94,447500.1697669054,6172499.780493908,perc_cropland,Cropland (% coverage),-0.0489755415580486,0.006327768434256575,-7.739780945982506,7.739780945982506,0.341159056996855,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AF96_1,AF96,447500.12389998813,6182499.65648123,perc_cropland,Cropland (% coverage),-0.0488862722593476,0.006425585000177271,-7.608065609278986,7.608065609278986,0.33561118711955806,Negative,TRUE,Cropland (% coverage),Negative
beta_turnover,All-site beta turnover,1,1970s,fixed_100km,100000,AF97_1,AF97,447500.13908220717,6187499.650967309,perc_cropland,Cropland (% coverage),-0.04928053724995727,0.006441582059453275,-7.650377934351724,7.650377934351724,0.3355804101518892,Negative,TRUE,Cropland (% coverage),Negative
