response,response_label,atlas,period,bandwidth,bandwidth_value,survey,site,X,Y,local_cn,predictor,local_vif,driver_label,vif_gt_5,vif_gt_10,cn_gt_30
predicted_richness,Predicted richness,1,1970s,fixed_100km,100000,AD90_1,AD90,447500.0709493527,6252499.57832838,8.411400577808978,tmean_breeding,1.707373477349859,Temperature,FALSE,FALSE,FALSE
predicted_richness,Predicted richness,1,1970s,fixed_100km,100000,AD90_1,AD90,447500.0709493527,6252499.57832838,8.411400577808978,prec_breeding,1.8148194085114047,Precipitation,FALSE,FALSE,FALSE
predicted_richness,Predicted richness,1,1970s,fixed_100km,100000,AD90_1,AD90,447500.0709493527,6252499.57832838,8.411400577808978,hh,3.1305387792884662,Land-use heterogeneity,FALSE,FALSE,FALSE
predicted_richness,Predicted richness,1,1970s,fixed_100km,100000,AD90_1,AD90,447500.0709493527,6252499.57832838,8.411400577808978,perc_urban,1.2706540238703197,Urban (% coverage),FALSE,FALSE,FALSE
predicted_richness,Predicted richness,1,1970s,fixed_100km,100000,AD90_1,AD90,447500.0709493527,6252499.57832838,8.411400577808978,perc_cropland,3.5334473648985067,Cropland (% coverage),FALSE,FALSE,FALSE
predicted_richness,Predicted richness,1,1970s,fixed_100km,100000,AD90_1,AD90,447500.0709493527,6252499.57832838,8.411400577808978,perc_pasture,1.7432407730737565,Pasture (% coverage),FALSE,FALSE,FALSE
predicted_richness,Predicted richness,1,1970s,fixed_100km,100000,AD90_1,AD90,447500.0709493527,6252499.57832838,8.411400577808978,perc_forest,1.7962044876633327,Forest (% coverage),FALSE,FALSE,FALSE
predicted_richness,Predicted richness,1,1970s,fixed_100km,100000,AD90_1,AD90,447500.0709493527,6252499.57832838,8.411400577808978,perc_grass_shrub,1.6351654476095785,Grass/Shrubland (% coverage),FALSE,FALSE,FALSE
predicted_richness,Predicted richness,1,1970s,fixed_100km,100000,BD19_1,BD19,457500.063487968,6297499.744964002,7.873215471601572,tmean_breeding,1.9248264102133061,Temperature,FALSE,FALSE,FALSE
predicted_richness,Predicted richness,1,1970s,fixed_100km,100000,BD19_1,BD19,457500.063487968,6297499.744964002,7.873215471601572,prec_breeding,1.7837762240256396,Precipitation,FALSE,FALSE,FALSE
